"","location","date","temp","sun","wind","time","count","search_terms","lon","lat"
"782","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","5:15-5:30",18,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"783","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","5:15-5:30",16,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"784","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","5:15-5:30",10,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"785","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","5:15-5:30",4,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"786","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","5:15-5:30",6,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"787","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","5:15-5:30",21,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"788","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","5:15-5:30",22,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"789","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","5:15-5:30",28,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"790","Main & W Babcock St","2011-09-13",79,"sunny","calm","5:15-5:30",24,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"791","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","5:15-5:30",2,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"792","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","5:15-5:30",59,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"793","College & S 11th Ave","2011-09-13",79,"sunny","calm","5:30-5:45",28,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"794","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","5:30-5:45",16,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"795","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","5:30-5:45",18,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"796","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","5:30-5:45",4,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"797","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","5:30-5:45",10,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"798","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","5:30-5:45",3,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"799","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","5:30-5:45",5,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"800","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","5:30-5:45",37,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"801","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","5:30-5:45",52,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"802","Main & W Babcock St","2011-09-13",79,"sunny","calm","5:30-5:45",5,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"803","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","5:30-5:45",1,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"804","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","5:30-5:45",69,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"805","College & S 11th Ave","2011-09-13",79,"sunny","calm","5:45-6:00",32,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"806","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","5:45-6:00",11,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"807","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","5:45-6:00",23,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"808","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","5:45-6:00",2,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"809","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","5:45-6:00",12,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"810","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","5:45-6:00",4,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"811","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","5:45-6:00",12,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"812","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","5:45-6:00",40,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"813","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","5:45-6:00",21,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"814","Main & W Babcock St","2011-09-13",79,"sunny","calm","5:45-6:00",12,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"815","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","5:45-6:00",2,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"816","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","5:45-6:00",58,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"817","College & S 11th Ave","2011-09-13",79,"sunny","calm","6:00-6:15",31,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"818","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","6:00-6:15",16,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"819","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","6:00-6:15",21,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"820","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","6:00-6:15",6,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"821","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","6:00-6:15",14,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"822","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","6:00-6:15",2,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"823","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","6:00-6:15",8,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"824","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","6:00-6:15",27,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"825","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","6:00-6:15",44,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"826","Main & W Babcock St","2011-09-13",79,"sunny","calm","6:00-6:15",12,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"827","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","6:00-6:15",12,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"828","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","6:00-6:15",78,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"829","College & S 11th Ave","2011-09-13",79,"sunny","calm","6:15-6:30",26,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"830","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","6:15-6:30",10,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"831","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","6:15-6:30",8,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"832","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","6:15-6:30",8,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"833","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","6:15-6:30",5,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"834","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","6:15-6:30",8,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"835","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","6:15-6:30",10,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"836","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","6:15-6:30",28,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"837","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","6:15-6:30",44,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"838","Main & W Babcock St","2011-09-13",79,"sunny","calm","6:15-6:30",14,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"839","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","6:15-6:30",0,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"840","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","6:15-6:30",59,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"841","College & S 11th Ave","2011-09-13",79,"sunny","calm","6:30-6:45",23,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"842","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","6:30-6:45",12,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"843","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","6:30-6:45",18,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"844","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","6:30-6:45",6,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"845","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","6:30-6:45",11,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"846","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","6:30-6:45",4,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"847","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","6:30-6:45",10,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"848","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","6:30-6:45",32,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"849","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","6:30-6:45",32,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"850","Main & W Babcock St","2011-09-13",79,"sunny","calm","6:30-6:45",16,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"851","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","6:30-6:45",0,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"852","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","6:30-6:45",49,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"853","College & S 11th Ave","2011-09-13",79,"sunny","calm","6:45-7:00",19,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"854","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","6:45-7:00",15,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"855","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","6:45-7:00",27,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"856","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","6:45-7:00",13,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"857","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","6:45-7:00",8,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"858","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","6:45-7:00",6,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"859","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","6:45-7:00",3,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"860","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","6:45-7:00",31,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"861","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","6:45-7:00",29,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"862","Main & W Babcock St","2011-09-13",79,"sunny","calm","6:45-7:00",11,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"863","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","6:45-7:00",0,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"864","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","6:45-7:00",75,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"865","College & S 11th Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",39,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"866","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",10,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"867","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",28,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"868","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",7,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"869","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",14,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"870","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","5:00-5:15",2,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"871","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",9,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"872","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","5:00-5:15",9,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"873","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","5:00-5:15",11,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"874","Main & W Babcock St","2011-09-14",55,"cloudy","windy","5:00-5:15",13,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"875","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","5:00-5:15",1,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"876","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","5:00-5:15",90,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"877","College & S 11th Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",25,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"878","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",9,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"879","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",18,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"880","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",6,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"881","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",5,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"882","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","5:15-5:30",3,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"883","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",6,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"884","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","5:15-5:30",14,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"885","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","5:15-5:30",21,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"886","Main & W Babcock St","2011-09-14",55,"cloudy","windy","5:15-5:30",23,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"887","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","5:15-5:30",2,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"888","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","5:15-5:30",70,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"889","College & S 11th Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",22,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"890","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",14,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"891","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",8,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"892","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",6,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"893","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",3,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"894","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","5:30-5:45",5,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"895","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",8,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"896","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","5:30-5:45",13,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"897","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","5:30-5:45",36,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"898","Main & W Babcock St","2011-09-14",55,"cloudy","windy","5:30-5:45",9,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"899","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","5:30-5:45",3,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"900","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","5:30-5:45",42,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"901","College & S 11th Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",30,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"902","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",6,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"903","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",12,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"904","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",1,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"905","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",6,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"906","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","5:45-6:00",3,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"907","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",8,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"908","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","5:45-6:00",6,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"909","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","5:45-6:00",9,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"910","Main & W Babcock St","2011-09-14",55,"cloudy","windy","5:45-6:00",12,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"911","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","5:45-6:00",2,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"912","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","5:45-6:00",55,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"913","College & S 11th Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",18,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"914","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",7,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"915","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",9,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"916","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",3,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"917","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",1,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"918","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","6:00-6:15",8,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"919","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",4,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"920","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","6:00-6:15",9,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"921","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","6:00-6:15",10,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"922","Main & W Babcock St","2011-09-14",55,"cloudy","windy","6:00-6:15",11,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"923","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","6:00-6:15",3,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"924","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","6:00-6:15",44,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"925","College & S 11th Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",21,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"926","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",5,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"927","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",10,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"928","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",3,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"929","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",7,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"930","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","6:15-6:30",2,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"931","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",4,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"932","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","6:15-6:30",5,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"933","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","6:15-6:30",7,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"934","Main & W Babcock St","2011-09-14",55,"cloudy","windy","6:15-6:30",12,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"935","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","6:15-6:30",0,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"936","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","6:15-6:30",39,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"937","College & S 11th Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",15,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"938","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",2,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"939","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",10,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"940","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",3,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"941","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",2,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"942","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","6:30-6:45",2,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"943","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",2,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"944","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","6:30-6:45",4,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"945","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","6:30-6:45",7,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"946","Main & W Babcock St","2011-09-14",55,"cloudy","windy","6:30-6:45",12,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"947","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","6:30-6:45",0,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"948","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","6:30-6:45",28,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"949","College & S 11th Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",9,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"950","Kagy & S 3rd Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",3,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"951","Kagy & S 7th Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",8,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"952","Lamme & N Grand Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",5,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"953","Peach & N Rouse Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",6,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"954","Garfield & W Main / Huffine","2011-09-14",55,"cloudy","windy","6:45-7:00",3,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"955","Durston &  N 15th Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",12,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"956","Church & Story (at Galligator trail)","2011-09-14",55,"cloudy","windy","6:45-7:00",6,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"957","Grant & S 7th Ave","2011-09-14",55,"cloudy","windy","6:45-7:00",2,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"958","Main & W Babcock St","2011-09-14",55,"cloudy","windy","6:45-7:00",11,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"959","Trail crossing & Highland Drive","2011-09-14",55,"cloudy","windy","6:45-7:00",3,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"960","MSU Centennial Mall (best vantage point","2011-09-14",55,"cloudy","windy","6:45-7:00",46,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
